id,date,text,word_count,char_count,avg_word_length,length_cluster,length_cluster_label,length_cluster_center_words
145561,2026-04-11T11:55:52+00:00,"#bot 


 

tahun ini aku lulus sekolah ga sabar pgn cepet² dftar kerjaan trus ngumpulin uang buat bangun rumah sendiri

cape lah, serba salah klo dirumah.
enak kerja, soalnya klo lg dimarahin ama ortu ga dikasih duit
cuma dapet kena mental doang.
diem salah,ngomong salah,apapun yg aku lakuin salah

memng bnr kalimat ""apapun itu dia tetap ortu kamu""

tapi siapa sih yg ga pengen punya ortu yg selalu ngerti keadaan anaknya+selalu suport anaknya, tapi kenapa hrus ortu yg selalu pgn dingertiin?",83,485,4.747,2,menengah,77.595
145560,2026-04-11T11:40:31+00:00,"#bot 


 

Kit heart jg ya dibilang sm ortu ""ga bisa bergaul""
pdhl aku berteman sm siapa aja, punya temen juga di sekolah (aku ga sendiri)

tapi gatau kenapa setiap denger kata² itu
langsung tiba² diem, merenung, reflek introvert seharian
lebih dari 20 kli aku denger kata kata itu

sedih aja rasanya,keknya selama ini aku jadi anak yg gagal",59,333,4.525,2,menengah,77.595
145559,2026-04-11T11:32:14+00:00,"#anon 

dulu dia sempet minta udahan 2kali, tapi gw gamau dan dia juga masih oke² aja
sekarang gw udah cape sama dia, mending nunggu diputusin atau gw yg putusin dia aja?
(btw dulu dia mnta udhn krna gw selalu nanyain dia mau apa aja sama knp slowres smpe belasan jam baru bls chat)

===
✉️ Kirimin Aku Pesan Rahasia",57,313,4.281,2,menengah,77.595
145549,2026-04-10T17:18:03+00:00," 
 
 
gatau kak kecewa aja, soalnya udah jauh jauh hari aku nantiin banget nonton konser ini, soalnya kalo gada temen aku gadibolehin pergi sama ortu, aku bilang sama si ini jadinya boleh, eh pas udah mau pergi dianya gabisa kayak langsung ""huhh apa emang selamanya gabisa nonton konser konser ginian ya"" tapi untung ada temenku yang gajadi sama pacarnya juga",59,353,4.898,2,menengah,77.595
145548,2026-04-10T17:12:41+00:00," 
 
 
mau cerita dikit, jadi di daerah aku tuh ada konser ndx gratis karena ultah kota gituu, terus udah jauh jauh hari aku udah janjian sama satu temenku cowo, pas tadi pagi mastiin juga dia iya gitu kan, tapi sore udah siap siap tinggal berangkat dia bilang gabisaa soalnya disuruh nganter ibunya kemana gitu, yaudah aku nyari barengan dong ada nih temenku cewe, akhirnya aku sama si temenku ini dong, pas di sana aku upload upload video sama temenku lagi nyanyi nyanyi bareng dong, dia komen ""sama siapa ituu, aku juga kesini tapi masuk VVIP, jalur ordal"" kek yang tadinya aku ngga jadi kecewa tuh langsung nggak enak gitu di hati, kekk langsung badmood ajaa anjirr sampe rumah juga kayak kosong gitu lohh",122,702,4.656,2,menengah,77.595
145542,2026-04-10T14:12:42+00:00,"#anon 


aku punyaa cowo, tapi akutuh bosen sama hubungan ini, aku gaperna nganggep hubungan ini serius, aku gaperna publis dia karena aku ga yakin sama hubungan inii, akuu ngerasa monoton banget sama diaa, padahal dia tuh baik banget, bener bener perjuangin akuuu gamau kehilangan aku, cintanya gedee, mauu ngusahain akuu, tapi aku ga perna yakin, akuu gabisa gaadaa dia lebih ke aku kesepian nanti aku ceritanya ke siapa, bukan takut kehilangan dia aku cuma takut kehilangan temen ceritaaa, akuu pengen udahan sama dia tapi di sisi lain nanti aku sama siapaaa? 

tolongg sarannn gaisss😭

===
✉️ Kirimin Aku Pesan Rahasia",98,616,5.071,2,menengah,77.595
145538,2026-04-10T13:34:45+00:00," 
 
 
kok jd ak yh yg takut,temen ak kn mnfaat in 2 pacarnya buat beliin sesuatu yg dia mau

pdhl dia ga cinta sm kedua cwo itu
klo dibeliin brrti si 2 cowo itu serius sm diaa

trus klo semisal yaa 2 2 nya ngajak tunangan, sdngkan dia aja ga cinta sm kedua cowo itu😭

nah takutnya cwo ny ada yg dendam gegara pcrn dimanfaatin doang bkn bnr² cinta😭

knp si g mikir dlu sebelum manfaatin cwo?😭

bkn nyalahin cm gmn yaaa , kl pcrn niatnya cm numpang makan sm dibeliin brng kata aku mah jangann😭
kan gatau si cwoo tu bisa dendam kl dia dimanfaatin😭",105,533,4.0,2,menengah,77.595
145531,2026-04-10T08:49:40+00:00,"#jenogf 
 
 
Emang aneh ya kalo deket sama kakak cowo? Waktu itu kan lagi kumpul di rumah nenek, kebetulan nenek bikin bakso. Nah aku kan ga ambil karena masih kenyang. Terus kakak ku suruh aku coba, yaudah aku coba sambil disupin kakakku. Eh sepupu ku liat terus malah bilang kalo dia sama adek cowo nya aja ga pernah gitu, hari2 berantem mulu. Ya ku jawab mungkin love language nya beda, tp masih kekeh kalo aku aneh bisa sedeket itu sama kakak ku.",81,445,4.37,2,menengah,77.595
145520,2026-04-09T17:59:53+00:00," 
 
 
guyss‼️ buat kalian yang rumahnya sekitaran ""MADIUN"" harus tauu, kakak aku tuh buka prelov, home cleaning, and dia juga nailist💅 bantu ramein guys mintoll🙏 yang mau cek instagram: @askhdvaa_ guyss, dijamin ngga ngecewainn, cek bio buat yang mau home cleaning, prelov, and nail art yaa💗 yukk rameinnn

CATATAN:
untuk home cleaning kos cowo skip dulu ya kak🙏🙏",57,356,4.93,2,menengah,77.595
145505,2026-04-09T15:20:44+00:00,"#bot 


 
jujur benciii bgtt sm temen yg ngerespon ""gatauu""😭

cuma untuk pertanyaan sepele yg udah jelas 

kek contoh 1:
""emang tadi sama siapa kamu di kantin?""
dia:""gatau""

kan anehh kannn,masa apa apa gatauu siii

contoh yg ke 2👇🏻
""emg itu ditmpatny dmana si yg kamu ceritain?""
dia:""gatau""

kan anehh kannn,kdng aku blm nanya aja dia udh blg ""gatau""😭
ntahlah keknya udh kena sindrom ""gatau"" jdi rflek ngucap ""gatau"" pdhl aslinya tau

always ""gatau"" 😭",77,440,4.364,2,menengah,77.595
