id,date,text,word_count,char_count,avg_word_length,length_cluster,length_cluster_label,length_cluster_center_words
145606,2026-04-12T04:51:37+00:00," 
 
 
setelah difikir fikir, ternyata aku gapernah beli baju, selalu pake bekas orang lain",13,84,5.385,0,pendek,9.3
145605,2026-04-12T04:05:46+00:00," 
 
 
siapa yg mau ikut aku berak #random",7,35,4.0,0,pendek,9.3
145604,2026-04-12T03:44:31+00:00,"#anon 

lebih disayang sama temen cowo dibanding cowo sendiri, sama cowo sendiri malah sering dicuekin

===
✉️ Kirimin Aku Pesan Rahasia",19,133,5.579,0,pendek,9.3
145603,2026-04-12T03:38:06+00:00,"#aurel 
 
 
ada yang pake hp redmi note 14 5G ga ya",11,46,3.182,0,pendek,9.3
145602,2026-04-12T03:36:49+00:00," 
 
 
pagi pagi mam pecel lele, naksir kok sama orang tele🤭",10,53,4.2,0,pendek,9.3
145601,2026-04-12T03:31:01+00:00," 
 
 
Tw g? #random",3,13,3.0,0,pendek,9.3
145598,2026-04-12T01:02:46+00:00," 
 
 
Yaelah 
Ketemu jomokers lain di kata suki lagi
Orang selalu ngatain gue suki
Gue kan bukan suki 
😑",17,96,4.588,0,pendek,9.3
145597,2026-04-11T23:31:06+00:00," 
 
 
Msh pagi udah pengen marah²",5,27,4.6,0,pendek,9.3
145596,2026-04-11T23:05:12+00:00," 
 
 
#random i love u",4,16,3.0,0,pendek,9.3
145594,2026-04-11T19:25:52+00:00," 
 
 
tutor move on",3,13,3.667,0,pendek,9.3
145593,2026-04-11T19:20:00+00:00," 
 
 
Aaarryyy,zz0",2,12,5.5,0,pendek,9.3
145592,2026-04-11T19:11:11+00:00,"#Rizzetan 
 
 
hai, kamu yang semangat ya",6,36,4.833,0,pendek,9.3
145591,2026-04-11T17:19:14+00:00," 
 
 
kalian mending beli beli tu di shpe/tt.. ak jrg bgt soalnya beli online",14,71,4.0,0,pendek,9.3
145590,2026-04-11T16:52:15+00:00,"#Cocomatcha 
 
 
Kok gk bis tidur yaa😔",6,33,4.333,0,pendek,9.3
145589,2026-04-11T16:25:29+00:00," 
 
 
Guys, boleh minta do'a nya ga? Mamahnya temen ku meninggal, sedih bgt ngeliat tmen ku, anak yang kuat",19,101,4.158,0,pendek,9.3
145588,2026-04-11T15:50:41+00:00," 
 
 
kenalin aku princess",3,20,6.0,0,pendek,9.3
145587,2026-04-11T15:49:36+00:00," 
 
 
hiks kalian ga kenql aku..",5,26,4.0,0,pendek,9.3
145586,2026-04-11T15:48:18+00:00," 
 
 
ihhh depan jendela aku ada suara oeoeoe",7,39,4.714,0,pendek,9.3
145585,2026-04-11T15:47:06+00:00," 
 
 
kok kalian ga nebak, jahat ahh",6,30,4.0,0,pendek,9.3
145584,2026-04-11T15:46:00+00:00,"#anon gw co, cari cewek yang mau curhat atau ngobrol ngomongin keresahan?

===
✉️ Kirimin Aku Pesan Rahasia",16,106,5.062,0,pendek,9.3
145583,2026-04-11T15:45:21+00:00," 
 
 
AYO TEBAKKK",2,11,5.0,0,pendek,9.3
145582,2026-04-11T15:44:41+00:00," 
 
 
kalian tau aku siapa ga?",5,24,3.8,0,pendek,9.3
145581,2026-04-11T15:43:52+00:00," 
 
 
kalian gamau bikin mf?",4,22,4.5,0,pendek,9.3
145580,2026-04-11T15:41:24+00:00," 
 
 
ada gosip baru ga",4,17,3.5,0,pendek,9.3
145579,2026-04-11T15:39:52+00:00," 
 
 
aku ditinggal tidur sama calon pacar😞",6,37,5.167,0,pendek,9.3
145578,2026-04-11T15:36:19+00:00," 
 
 
KOK KALIAN TELENYA PADA PREM",5,28,4.8,0,pendek,9.3
145577,2026-04-11T15:35:09+00:00," 
 
 
ngantuk pengen seblak",3,21,6.333,0,pendek,9.3
145576,2026-04-11T15:33:19+00:00," 
 
 
kalian pasti kangen ak",4,22,4.75,0,pendek,9.3
145575,2026-04-11T15:31:58+00:00," 
 
 
kalian kemana, coba comment",4,27,5.75,0,pendek,9.3
145574,2026-04-11T14:44:34+00:00,"#tamspalsu 
 
 
⚠️ selamat hari raya idul fitri. minal aidzin wal faidzin, mohon maaf lahir dan batin.",15,97,5.067,0,pendek,9.3
145573,2026-04-11T13:57:36+00:00," 
 
 
OPO WS ORA ISO DI DANDANI, SAYANG MAAF KU TAK BISA LAGI",12,55,3.583,0,pendek,9.3
145572,2026-04-11T13:48:20+00:00,"#Koceng 
 
 
males bgt anjing,dirumah kenak mental mulu,lama² gilaa cok",11,66,5.0,0,pendek,9.3
145571,2026-04-11T13:16:54+00:00," 
 
 
kenapa ya mantan kalau udah dilupain pasti balik lagi, heran deh",11,64,4.818,0,pendek,9.3
145570,2026-04-11T13:16:32+00:00," 
 
 
GIMANA IHH MASIH GELISAH BANGET",5,31,5.4,0,pendek,9.3
145569,2026-04-11T12:39:11+00:00," 
 
 
#menfess

ga rame ya disini",5,26,4.2,0,pendek,9.3
145568,2026-04-11T12:34:02+00:00,"#leendyaa 
 
 
permisiii, bagi stiker plenger dongggg",6,48,6.833,0,pendek,9.3
145567,2026-04-11T12:23:23+00:00,"#anon

gabut

===
✉️ Kirimin Aku Pesan Rahasia",6,44,5.167,0,pendek,9.3
145566,2026-04-11T12:21:52+00:00," 
 
 
aku kenapa ya dari tadi rasanya gelisah banget, gimana cara ilanginnya pls ga enak",14,82,4.857,0,pendek,9.3
145565,2026-04-11T12:21:20+00:00," 
 
 
infooo dong yang sekolah dismkn 48 jakarta",7,42,5.143,0,pendek,9.3
145564,2026-04-11T12:17:58+00:00,"#anon 

malming malah ujan

===
✉️ Kirimin Aku Pesan Rahasia",8,57,5.25,0,pendek,9.3
145563,2026-04-11T12:07:40+00:00," 
 
 
Mata gw napa jd tebel y jir? pdhl nangisnya cm sebentar doang😭",12,62,4.083,0,pendek,9.3
145562,2026-04-11T12:05:22+00:00," 
 
 
bahayaa bgt capcut sekarangg anjir",5,34,6.0,0,pendek,9.3
145558,2026-04-11T11:14:25+00:00," 
 
 
i have an exam next week.. doakan saya dapat nilai bagus plsss 🥺🥺🙏🏻 mohon and thank you sm 🫶🏻🫶🏻",17,95,3.941,0,pendek,9.3
145557,2026-04-11T09:49:50+00:00,"#bot #╥﹏╥


Mending diputusin atau mutusin?",5,41,6.0,0,pendek,9.3
145556,2026-04-11T06:25:55+00:00,"#anon 


kayanya aku mati rasa deh🙁🙁

===
✉️ Kirimin Aku Pesan Rahasia",10,66,4.7,0,pendek,9.3
145555,2026-04-11T06:15:35+00:00," 
 
 
Udah tua, marah marah mulu😒",5,27,4.2,0,pendek,9.3
145553,2026-04-11T01:59:08+00:00,"#anon 

cari jurnal selain di scholar dmna lagi ya?

===
✉️ Kirimin Aku Pesan Rahasia",13,82,4.692,0,pendek,9.3
145552,2026-04-11T01:55:59+00:00," 
 
 
Keinget sansfess 2023, sering ada nyolek menfess dan bot surat confess 😔",11,72,5.364,0,pendek,9.3
145550,2026-04-10T23:14:18+00:00," 
 
 
mls bgt njir sabtu2 brngkt skolahhh😭",6,36,5.0,0,pendek,9.3
145547,2026-04-10T15:51:51+00:00,"#anon gw co, cari cewek yang mau curhat atau ngobrol ngomongin keresahan?

===
✉️ Kirimin Aku Pesan Rahasia",16,106,5.062,0,pendek,9.3
145545,2026-04-10T14:21:50+00:00,"#anon gw co, cari cewek yang mau curhat atau ngobrol ngomongin keresahan?

===
✉️ Kirimin Aku Pesan Rahasia",16,106,5.062,0,pendek,9.3
145543,2026-04-10T14:15:34+00:00,"#adagajah 
 
 
aku mau nyari musik di sini tpi yg bisa di simpen gitu,aku lupa namanya ada yg tau",19,92,3.842,0,pendek,9.3
145541,2026-04-10T14:08:16+00:00,"#adagajah 
 
 
siapa yg punya getcontact plis minta tolong",8,53,5.625,0,pendek,9.3
145540,2026-04-10T13:59:56+00:00," 
 
 
aku hari ini ulang tahun guys",6,29,4.0,0,pendek,9.3
145539,2026-04-10T13:38:34+00:00," 
 
 
https://t.me/sansfess/145538

Tinggal tunggu beritanya aja ini ""potongan tubuh seorang wanita ditemukan dikawasan kebun jagung""😭😭",18,128,5.833,0,pendek,9.3
145537,2026-04-10T13:04:20+00:00," 
 
 
ini emang sepi gini ya?",5,23,3.6,0,pendek,9.3
145536,2026-04-10T12:58:10+00:00," 
 
 
https://t.me/sansfess/145535
yahh, aku ga bisa, bisanya goyang nasi Padang",13,74,4.462,0,pendek,9.3
145535,2026-04-10T12:56:10+00:00," 
 
 
https://t.me/sansfess/145534

Pendatang baru wajib buat vidio goyang inul",12,72,4.917,0,pendek,9.3
145534,2026-04-10T12:54:50+00:00," 
 
 
hai, aku pendatang baru",4,23,4.75,0,pendek,9.3
145533,2026-04-10T11:23:35+00:00," 
 
 
les jadi nailist ada gaa??😭🙏",5,28,4.0,0,pendek,9.3
145532,2026-04-10T11:12:59+00:00," 
 
 
guys, kbelet eek😭💔",3,18,4.333,0,pendek,9.3
145530,2026-04-10T08:42:58+00:00," 
 
 
aduh besok interview 😭😭takutt bngt sayaa anjir 😭😭😭😭😭😭😭takut gugup terus ae aa ee aa ee anjg😭😭😭😭",16,95,4.188,0,pendek,9.3
145529,2026-04-10T08:40:30+00:00," 
 
 
duhh gw jd tkut kuliahh, gbisa ngomong didepan org banyk,gemeteran gmna yaa😭

tahun ini masuk kuliah anyingla😔",18,109,4.944,0,pendek,9.3
145528,2026-04-10T08:07:43+00:00,"#anon gw co, cari cewek yang mau curhat atau ngobrol ngomongin keresahan?

===
✉️ Kirimin Aku Pesan Rahasia",16,106,5.062,0,pendek,9.3
145526,2026-04-10T06:01:13+00:00,"#anon gw co, cari cewek yang mau curhat atau ngobrol ngomongin keresahan?

===
✉️ Kirimin Aku Pesan Rahasia",16,106,5.062,0,pendek,9.3
145525,2026-04-10T04:57:03+00:00," 
 
 
Knpa ya kalo orang yng udah ngecewain kita,itu ngechat lagi mau bales chatnya aja ga ada energi lagi",19,100,4.316,0,pendek,9.3
145524,2026-04-10T02:10:19+00:00,"#anon gw co, cari cewek yang mau curhat atau ngobrol ngomongin keresahan?

===
✉️ Kirimin Aku Pesan Rahasia",16,106,5.062,0,pendek,9.3
145523,2026-04-10T02:05:43+00:00," 
 
 
Pengen jadi business woman kaya Khodijah istri nabi 
😭😭😭",8,55,5.5,0,pendek,9.3
145522,2026-04-10T00:30:59+00:00," 
 
 
Gw semalem mimpi cha Eun woo, knp ga gw peluk ya dodol bet😭😭😭😭",13,62,3.462,0,pendek,9.3
145521,2026-04-09T18:00:42+00:00,"#anon

ada ga cwe yg mw nemenin call :( mw curhatt

===
✉️ Kirimin Aku Pesan Rahasia",14,82,4.143,0,pendek,9.3
145518,2026-04-09T17:46:43+00:00,"#anon

aku cowo, call yuuu kak, gabisa bobo

===
✉️ Kirimin Aku Pesan Rahasia",12,75,4.5,0,pendek,9.3
145517,2026-04-09T17:43:15+00:00,"#erika 
 
 
Guyss, ak ga bisa tidurrrrr😭😭",6,36,4.5,0,pendek,9.3
145516,2026-04-09T16:40:34+00:00,"#anon gw co, cari cewek yang mau curhat atau ngobrol ngomongin keresahan?

===
✉️ Kirimin Aku Pesan Rahasia",16,106,5.062,0,pendek,9.3
145515,2026-04-09T16:17:44+00:00,"#Koceng 
 
 
pliss tolonginn,gbisa tidur takut tiba² digigit tikuss",9,62,5.889,0,pendek,9.3
145514,2026-04-09T16:13:36+00:00,"#Koceng 
 
 
anjir anjir tiba² ada tikus masuk kamar gimn cara usirnyaa 😭😭😭😭",11,71,5.0,0,pendek,9.3
145513,2026-04-09T15:59:30+00:00," 
 
 
ni ch makin lama makin sepi ya jir,ap gua jual aja yh?",13,54,3.154,0,pendek,9.3
145512,2026-04-09T15:57:49+00:00," 
 
 
selama kita ldr dan sama sama sibuk ga terlalu about hubungan gapapa kann",13,73,4.692,0,pendek,9.3
145511,2026-04-09T15:57:13+00:00," 
 
 
selama kita ldr dan sama sama sibuk about hubungan gapapa kann",11,62,4.727,0,pendek,9.3
145510,2026-04-09T15:54:19+00:00," 
 
 
gmna si caranya pnya cwo? ajarin dong,tiap deket sm cwo ga bertahan 1 bulan udh putus
haha",18,90,4.0,0,pendek,9.3
145508,2026-04-09T15:47:23+00:00," 
 
 
Aku mau LDR sm cowo aku ke Jerman mau nyari kerja dan aku ditinggal dia minta putus duluan",18,90,4.056,0,pendek,9.3
145504,2026-04-09T15:08:56+00:00," 
 
 
kalo lagi cape²nya kerja rasanya tu pengen nyari suami",9,54,5.111,0,pendek,9.3
145502,2026-04-09T14:54:57+00:00," 
 
 
malem Jum'at pada tahlilan kah? kok sepi?
apa pada sibuk ngaji ya?",13,66,3.923,0,pendek,9.3
145501,2026-04-09T14:26:44+00:00," 
 
 
ini orang-orang sekalinya ngilang, ngilang semua -muanya
aaaa sebelll",10,69,5.8,0,pendek,9.3
145499,2026-04-09T14:07:01+00:00,"#jjy 
 
 
pliss jahat ga kalo tiba' ngcht lagi karna tau masii d respon",13,66,4.0,0,pendek,9.3
145497,2026-04-09T13:09:20+00:00," 
 
 
ditmpt gw tiap malem hujan mulu,ada yg sama?",9,44,3.889,0,pendek,9.3
145496,2026-04-09T13:00:36+00:00," 
 
 
mau nanya ini angka 6 ap angka 8 yh?😭
kalo aku ngeliatnya angka 6,menurut klian apa?

ini gmbrnya👇🏻",19,98,3.947,0,pendek,9.3
145495,2026-04-09T12:36:27+00:00," 
 
 
SP YG MW JD PACARR AKUUHH?🥰",6,27,3.333,0,pendek,9.3
145494,2026-04-09T12:24:56+00:00,"#anon

Main ludo yuu

===
✉️ Kirimin Aku Pesan Rahasia",8,52,4.625,0,pendek,9.3
145493,2026-04-09T12:15:59+00:00," 
 
 
https://t.me/sansfess/145492?comment=283744

Suka suka ku lah, gitu aja kok repot.",15,81,4.2,0,pendek,9.3
145492,2026-04-09T12:07:18+00:00," 
 
 
https://t.me/sansfess/145491

Ya putih tulang juga, gitu aja kok repot.",13,70,4.154,0,pendek,9.3
145489,2026-04-09T11:53:49+00:00," 
 
 
https://t.me/sansfess/145488

Analisis psikologis laki laki yang menikah dengan Yuyu kangkung: apakah cinta bisa membuat sakit jiwa?",20,131,5.4,0,pendek,9.3
