id,date,text,word_count,char_count,avg_word_length,length_cluster,length_cluster_label,length_cluster_center_words,text_clean,cluster,filtered_out,filtered_pass
118027,2025-01-02T02:10:48+00:00," 
 
 
hallo aku jelasin ya, kamu cukup sewain wa kaka ke aku, aku pake wa kamu untuk promosi yaaa!!
kamu tetep bisa pake wa kamu seperti biasa, dan chatan kamu aman privasi gaakan keganggu karena chat&kontak kamu gak muncul di aku jadi otomatis aku ga akan bisa baca privasi & vhatan kamu jadi  privasi amann 100% 
masalah gaji aku tf hari ini kok jadi gausa khawatir ya!!!
NOTE ;  Kita juga ada banyak testi yg kaka bsa liat 
ragu skip yaa,love all

udah fix join? ini syaratnya 

1. wajib yang di pakai tiap hari 
2. WA aku pakai khusus buat promo ke customer aku 
3. yang aku chat juga bukan kontak kalian 
    ( KONTAK DARI AKU SEMUA )
4. perharinya aku bayar 30.000  genap 1 mnggu di kash bonus 150.000
NOTE : WA masih bisa kamu pakai seperti biasanya, walaupun aku lagi sewa. data dan privasi aman ga disentuh yaa, gapenting juga buat aku :)

ini boongan kan yaa",156,846,4.237,3,panjang,178.557,hallo aku jelasin ya kamu cukup sewain wa kaka ke aku aku pake wa kamu untuk promosi ya kamu tetep bisa pake wa kamu seperti biasa dan chatan kamu aman privasi gaakan keganggu karena chat kontak kamu tidak muncul di aku jadi otomatis aku tidak akan bisa baca privasi vhatan kamu jadi privasi aman 100 masalah gaji aku tf hari ini kok jadi gausa khawatir ya note kita juga ada banyak testi yang kaka bisa liat ragu skip ya love al udah fix join ini syaratnya 1 wajib yang di pakai tiap hari 2 wa aku pakai khusus buat promo ke customer aku 3 yang aku chat juga bukan kontak kalian kontak dari aku semua 4 perharinya aku bayar 30 000 genap 1 mnggu di kash bonus 150 000 note wa masih bisa kamu pakai seperti biasanya walaupun aku lagi sewa data dan privasi aman tidak disentuh ya gapenting juga buat aku ini boongan kan ya,4,False,
109316,2024-11-25T10:42:18+00:00," 
 
 
tuliluttt... tuliiluuttt... bunyi hape gue selepas maghrib. Sesudah adzan, sesudah gue solat dan mandi juga tentunya. 
 
by 📞 

gue: nape nyet? ganggu orang lagi enak aja lo ah! 

kacung: hah? enak? ngapaen? Parah lo gak ngajak gue! 
 
gue: gue mau tidur! capek abis sparing sepakbola tadi bego!
 
kacung: cailah, gitu aja capek, gue aja masih seger gini 
 
gue: ya segerlah, lo kan gak ikut main! cuma ngikut gue doang tadi ma anakanak!
 
kacung: hehe
 
gue: ada apaan? tunjep poin! 

kacung: jadi gini, berhubung lo biasanya malem minggu membusuk di rumah. Lo malem minggu besok ada acara gak?
 
Gue: ada sih!
 
Kacung: hah? Tumben malem minggu lo ada acara. Acara apaan? 
 
Gue: nonton bola di kamar. Puas! 
 
Kacung: hahaha, udah ikut gue aja ke acara ulang tahun temen gue yak?
 
gue: lah lo gak apel permaisuri lo kalo malem minggu?
 
kacung: gak, dia keluar kota acara keluarga gitu.
 
gue: owh oke deh, besok kabar-kabar lagi aja nyet

Tut.. tut.. tut.. tanda bahwa bunyi telpon udah diputus yang hampir mirip ama bunyi kereta api di lagu “naik kereta api”. 

Kacung adalah sohib gue semasa SMA, kita udah kayak pasangan maho karena kemana-mana selalu bareng, mungkin karena rumah kita juga deket, gue di kampung A dan dia di kampung B, yang letaknya emang berseberangan, dipisahkan oleh aliran sungai, tanpa ada gunung yang mengelilingi, dengan jarak tempuh sekitar 30 menit... kalo merangkak tapi.",230,1367,4.617,3,panjang,178.557,tulilut tuliiluut bunyi hape gue selepas maghrib sesudah adzan sesudah gue solat dan mandi juga tentunya by gue nape nyet ganggu orang lagi enak saja lo ah kacung hah enak ngapaen parah lo tidak ngajak gue gue gue mau tidur capek abis sparing sepakbola tadi bego kacung cailah gitu saja capek gue saja masih seger gini gue ya segerlah lo kan tidak ikut main cuma ngikut gue doang tadi ma anakanak kacung hehe gue ada apaan tunjep poin kacung jadi gini berhubung lo biasanya malem minggu membusuk di rumah lo malem minggu besok ada acara tidak gue ada sih kacung hah tumben malem minggu lo ada acara acara apaan gue nonton bola di kamar puas kacung hahaha udah ikut gue saja ke acara ulang tahun temen gue yak gue lah lo tidak apel permaisuri lo kalo malem minggu kacung tidak dia keluar kota acara keluarga gitu gue owh oke deh besok kabar kabar lagi saja nyet tut tut tut tanda bahwa bunyi telpon udah diputus yang hampir mirip ama bunyi kereta api di lagu naik kereta api kacung adalah sohib gue semasa sma kita udah kayak pasangan maho karena kemana mana selalu bareng mungkin karena rumah kita juga deket gue di kampung a dan dia di kampung b yang letaknya emang berseberangan dipisahkan oleh aliran sungai tanpa ada gunung yang mengelilingi dengan jarak tempuh sekitar 30 menit kalo merangkak tapi,1,False,
123978,2025-02-23T06:18:59+00:00," 
 
 
14. Dua buah mata uang logam dilemparkan bersama-sama sebanyak satu kalı, maka peluang muncul keduanya sama adalah..... 
a. ¼ 
b. ½ 
c. 2/3 
d. ¾ 
e. 1/6 
 
15. Peluang terambilnya kartu bernomor prima merah pada pengambilan satu kartu secara acak dari satu set kartu bridge adalah..... 
a. 6/52 
b. 8/52 
c. 12/52 
d. 16/52 
e. 26/52 
 
16.  Dua dadu berwarna hitam dan merah dilambungkan secara bersama-sama. Peluang muncul mata data berjumlah lebih dari 10 adalah..... 
a. 1/3 
b. 1/6 
c. 1/9 
d. 1/12 
e. 1/18 
 
17. Dua buah dadu bermata enam dilempar satu kali sekaligus, peluang muncul kedua mata dadu berjumlah < 10 adalah 
a. 1/12 
b. 1/6 
c. 1/4 
d. 5/6 
e. 11/12 
18. Jika suatu mobil yang diuji mempunyai peluang gagal dalam ujian karena lampu adalah ¼ , maka peluang mobil itu akan lulus adalah  
a. ¾ 
b. 2/3 
c. ½ 
d. ¼ 
e. 1/8 
19. Sebuah tas berisi 12 kelereng yang terdiri dari 5 kelereng biru, 3 kelereng merah, dan 4 kelereng kuning. Daritas tersebut akan diambil satu kelereng, peluang terambilnya kelereng berwarna merah adalah...  
a. ½ 
b. 1/3 
c. ¼ 
d. 1/5 
e. 1/12 
20. Sebuah tas berisi lima buah komik volume 11 sampai 15. Jika buku diambil secara acak dari tas tersebut, maka peluang terambilnya komik volume genap adalah...  
a.  1/5 
b. 2/5 
c. 3/5 
d. 4/5 
e. 1 
 
 

TOLONGIN PAKAI CARANYA PLSS",254,1269,3.701,3,panjang,178.557,14 dua buah mata uang logam dilemparkan bersama sama sebanyak satu kal maka peluang muncul keduanya sama adalah a b c 2 3 d e 1 6 15 peluang terambilnya kartu bernomor prima merah pada pengambilan satu kartu secara acak dari satu set kartu bridge adalah a 6 52 b 8 52 c 12 52 d 16 52 e 26 52 16 dua dadu berwarna hitam dan merah dilambungkan secara bersama sama peluang muncul mata data berjumlah lebih dari 10 adalah a 1 3 b 1 6 c 1 9 d 1 12 e 1 18 17 dua buah dadu bermata enam dilempar satu kali sekaligus peluang muncul kedua mata dadu berjumlah 10 adalah a 1 12 b 1 6 c 1 4 d 5 6 e 11 12 18 jika suatu mobil yang diuji mempunyai peluang gagal dalam ujian karena lampu adalah maka peluang mobil itu akan lulus adalah a b 2 3 c d e 1 8 19 sebuah tas berisi 12 kelereng yang terdiri dari 5 kelereng biru 3 kelereng merah dan 4 kelereng kuning daritas tersebut akan diambil satu kelereng peluang terambilnya kelereng berwarna merah adalah a b 1 3 c d 1 5 e 1 12 20 sebuah tas berisi lima buah komik volume 11 sampai 15 jika buku diambil secara acak dari tas tersebut maka peluang terambilnya komik volume genap adalah a 1 5 b 2 5 c 3 5 d 4 5 e 1 tolongin pakai caranya pls,2,False,
144252,2026-03-05T22:44:55+00:00,"#jenii 
 
 
pacarku ngatain aku lonte, padahal aku ga aneh"" se
agkan dia ketauan main ome 2 kali buat nyari cwe yg sma"" birahi. ketauannya karna aku pegang emailnya dan nyoba login pake email dia dn semua kelakuannya kebongkar, dia janji mau berubah dan dia bohong dia liatin live cwe"" yg kalo live tengah malem dan suaranya di manja"" in kayak ngegoda, orng yg live open bo di tiktok nah dia liat itu. terus ketauan juga dia bikin ig secon yg follow cwe yg seksi"". aku masih maafin dia sebelumnya dan ngasih kesempatan tapi maafku kayak disepelein dan dia jadi seenaknya sendiri perlakuin aku. aku udah yakin bgt buat putus dia yg gamau putus dan cuma janji"" doang dia mau nikahin aku tapi aku ga mau nikah sama orng yg kayak gitu. doain aku bisa  lepas dari dia ya teman"". rasanya sakit bgt di katain lonte padahal aku ga pernah aneh"" bener"" ga main blakang dari dia yang pantes di sebut lonte harusnya dia ga sih, aku masih ga trima dan itu ngebekas bgt🥺",173,950,4.376,3,panjang,178.557,pacarku ngatain aku lonte padahal aku tidak aneh se agkan dia ketauan main ome 2 kali buat nyari cwe yang sma birahi ketauannya karna aku pegang emailnya dan nyoba login pake email dia dn semua kelakuannya kebongkar dia janji mau berubah dan dia bohong dia liatin live cwe yang kalo live tengah malem dan suaranya di manja in kayak ngegoda orng yang live open bo di tiktok nah dia liat itu terus ketauan juga dia bikin ig secon yang follow cwe yang seksi aku masih maafin dia sebelumnya dan ngasih kesempatan tapi maafku kayak disepelein dan dia jadi seenaknya sendiri perlakuin aku aku udah yakin banget buat putus dia yang gamau putus dan cuma janji doang dia mau nikahin aku tapi aku tidak mau nikah sama orng yang kayak gitu doain aku bisa lepas dari dia ya teman rasanya sakit banget di katain lonte padahal aku tidak pernah aneh bener tidak main blakang dari dia yang pantes di sebut lonte harusnya dia tidak sih aku masih tidak trima dan itu ngebekas banget,0,False,
114761,2024-12-18T13:40:55+00:00," 
 
 
mau cerita dikit 

bulan lalu aku join kawad kaki,nah kami juara 1 nih trus rayain nya makan makan gitu . squad leader nya duduk sebelah aku terus dia nga punya bateri hp,aku ngasi la powerbank aku trus dia itu kan duduk sebelah aku itu dekat banget di meja makan.jdi kami di situ tiba ii akrab .malam itu teman aku bilang dia suka sama akuu 🫥🫥 trus esk nya rame banget dalam grup wa ngeship kami berdua,(dia emang beneran suka aku) tpi awal pginya dia nga chat aku duluan dia nanya ke teman aku,aku suka orang kek gimana … panjang banget nga sih,aku short kan aja 

aku tanya ke dia “beneran suka sama aku” benar dia bilang.kita pacaran.NAH DISINI NI aku bngun tidur aja wish nya panjang banget bubble gitu 
besok dan seterus nyaaa sama bubble chat nya bnyk topic chat juga bnyk (kami ada juga call callan gitu).tiba tiba nih dia berubah,wish morningg kadang nga ada kadang ada tapi short juga, wish gudnight juga udah nga ada jir.tau apa yang lagi parah dia ngelike juga jogetan(satu aja) tpi cewe itu kek nafsuan,chat aku juga kdang lambat banget balas nya,dia juga nga info mau kemanaa ☹️ TAPI SUMPAH AKU NGERASA DIA UDAH BEDAAAAAAAA.atau aku keterlaluan mikirnya ?

atau ini cuma biasa aja?
what should i do😕😕",225,1208,4.267,3,panjang,178.557,mau cerita dikit bulan lalu aku join kawad kaki nah kami juara 1 nih trus rayain nya makan makan gitu squad leader nya duduk sebelah aku terus dia nga punya bateri hp aku ngasi la powerbank aku trus dia itu kan duduk sebelah aku itu dekat banget di meja makan jdi kami di situ tiba i akrab malam itu teman aku bilang dia suka sama aku trus esk nya rame banget dalam grup wa ngeship kami berdua dia emang beneran suka aku tpi awal pginya dia nga chat aku duluan dia nanya ke teman aku aku suka orang kek gimana panjang banget nga sih aku short kan saja aku tanya ke dia beneran suka sama aku benar dia bilang kita pacaran nah disini ni aku bngun tidur saja wish nya panjang banget bubble gitu besok dan seterus nya sama bubble chat nya bnyk topic chat juga bnyk kami ada juga cal callan gitu tiba tiba nih dia berubah wish morning kadang nga ada kadang ada tapi short juga wish gudnight juga udah nga ada jir tau apa yang lagi parah dia ngelike juga jogetan satu saja tpi cewe itu kek nafsuan chat aku juga kdang lambat banget balas nya dia juga nga info mau kemana tapi sumpah aku ngerasa dia udah beda atau aku keterlaluan mikirnya atau ini cuma biasa saja what should i do,1,False,
115483,2024-12-21T03:48:12+00:00," 
 
 
gua mau ceritaa, tadii pagii kan gua ada berantem sama ortu terus ada satuuu kalimat yg nyakitin banget anjay smpe gua kepikiran banget. kata nya ""belagu banget lu gaji kecil udh kaya bisa ngasih makan sekeluarga aja""

cuma gara gara gua minta anterin doang terus dia bilang gitu, yauda gua bilang kalo guaa tuh ngebantu sebisa mungkin kalo nnti dapet kerjaan baru yg gaji lebih gede pasti gua bantu kok

pdhl gua punya abang gaji dia umr jauh lebih gede di banding gua, tapi ga pernah digituin padahal tiap bulan abang gua ga pernah ngasih ke ortu dan parah nya abang gua masih minta ke gua, blm lagi adek guaa tiap bulan mintaa juga

kayaa gua pdhl selalu mikirin orang rumah, tanggal tua pun duit gua tinggal 100rb kalo emak gua mintaa beli apa gua kasih, sampeee guaa pengenn banget kuliah guaa pending duluuu sampe tahun depan tapii kata bapak gua gausa kuliah mending biayain adek guaa aja biar bisa jadi pramugari toh nanti gua bakal ""kecipratan"" kalo misalnya dia beneran jadi",172,981,4.645,3,panjang,178.557,gua mau cerita tadi pagi kan gua ada berantem sama ortu terus ada satu kalimat yang nyakitin banget anjay smpe gua kepikiran banget kata nya belagu banget lu gaji kecil udh kaya bisa ngasih makan sekeluarga saja cuma gara gara gua minta anterin doang terus dia bilang gitu yauda gua bilang kalo gua tuh ngebantu sebisa mungkin kalo nnti dapet kerjaan baru yang gaji lebih gede pasti gua bantu kok pdhl gua punya abang gaji dia umr jauh lebih gede di banding gua tapi tidak pernah digituin padahal tiap bulan abang gua tidak pernah ngasih ke ortu dan parah nya abang gua masih minta ke gua belum lagi adek gua tiap bulan minta juga kaya gua pdhl selalu mikirin orang rumah tanggal tua pun duit gua tinggal 100rb kalo emak gua minta beli apa gua kasih sampe gua pengen banget kuliah gua pending dulu sampe tahun depan tapi kata bapak gua gausa kuliah mending biayain adek gua saja biar bisa jadi pramugari toh nanti gua bakal kecipratan kalo misalnya dia beneran jadi,3,False,
119011,2025-01-08T01:54:41+00:00," 
 
 
gorengan anget abis scroll x

""Spoiler;

Opa coach itu bertengkar dengan mayoritas pemain dan official team.

Keras kepala dan pemarah hingga sudah tdk dapat diajak berdiskusi lagi oleh siapapun.

Semua ini diperhalus dengan kalimat yg rendah hati tanpa menimbulkan kesan permusuhan saat konpers perpisahannya""

""sebelum laga kontra china pemain(idzes, Thom haye, sandy) merencanakan mengajak coach dan staff berkumpul untuk berkumpul membahas soal taktik namun STY merasa tersinggung karena dianggap hal tersebut mendahului pelatih (STY) dan dianggap STY tidak mengerti soal taktik, lalu STY pun marah dan meninggalkan ruang tsb akibatnya:

-Kapten Jay di alihkan kepada asnawi -Thom haye dicadangkan dan memilih asnawi timbang sandy walsh -Eliano di coret tanpa alasan yang jelas. Dan akhirnya dari laga tsb indonesia harus mengakui kekalahan atas china, dan ga sampai di situ saja Suasana ruang ganti(halftime) semakin memanas membuat pemain tidak konsentrasi.

Akhirnya para pemain tsb mendiskusikan akan problem yg dialami dan melaporkan hal tsb kepada Pak Ketum ERICK THOHIR bahwa pemain (Diaspora) tidak nyaman akan kehadiran STY.""",166,1131,5.675,3,panjang,178.557,gorengan anget abis scrol x spoiler opa coach itu bertengkar dengan mayoritas pemain dan official team keras kepala dan pemarah hingga sudah tidak dapat diajak berdiskusi lagi oleh siapapun semua ini diperhalus dengan kalimat yang rendah hati tanpa menimbulkan kesan permusuhan saat konpers perpisahannya sebelum laga kontra china pemain idzes thom haye sandy merencanakan mengajak coach dan staf berkumpul untuk berkumpul membahas soal taktik namun sty merasa tersinggung karena dianggap hal tersebut mendahului pelatih sty dan dianggap sty tidak mengerti soal taktik lalu sty pun marah dan meninggalkan ruang tsb akibatnya kapten jay di alihkan kepada asnawi thom haye dicadangkan dan memilih asnawi timbang sandy walsh eliano di coret tanpa alasan yang jelas dan akhirnya dari laga tsb indonesia harus mengakui kekalahan atas china dan tidak sampai di situ saja suasana ruang ganti halftime semakin memanas membuat pemain tidak konsentrasi akhirnya para pemain tsb mendiskusikan akan problem yang dialami dan melaporkan hal tsb kepada pak ketum erick thohir bahwa pemain diaspora tidak nyaman akan kehadiran sty,0,False,
130640,2025-05-06T10:19:11+00:00,"#Kate 
 
 
Guys aku kan abis resign dari pekerjaan aku sebelum nya bukan karena gak suka lingkungan kerja dan gaji tapi karena mama aku bilang gak ada yang bantuin pekerjaan rumah sedangkan kakak aku dia nganggur gak mau ngapa-ngapain.

Setelah aku resign dan ngelakuin pekerjaan rumah dirumah sendiri dan gak punya gaji mama aku ngeluh lagi katanya finansial keluarga kurang karena aku sama kakak ga kerja.

Giliran aku mau kerja dan dapet interview mama aku malah kayak sebelum nya lagi kayak di cerita awal. 

Pas aku speak up mama dan kakak aku gak terima dan berakhir aku keluar rumah.

Sekarang pun begitu mama ngeluh lagi gak ada yang bantuin pekerjaan rumah dan finansial keluarga.
Terus aku harus apa lagi? Gimana lagi?
Kakak aku dirumah gak mau ngapa-ngapain gak pernah sekalipun ditegur sedangkan aku? Kerja salah, gak kerja salah

Aku harus apa?

 Udah cape aku rasanya. Mau bunuh diri aku juga takut sama setan yang mati gara-gara bunuh diri. Jelek banget anjir😭😭😭😭",163,965,4.822,3,panjang,178.557,guys aku kan abis resign dari pekerjaan aku sebelum nya bukan karena tidak suka lingkungan kerja dan gaji tapi karena mama aku bilang tidak ada yang bantuin pekerjaan rumah sedangkan kakak aku dia nganggur tidak mau ngapa ngapain setelah aku resign dan ngelakuin pekerjaan rumah dirumah sendiri dan tidak punya gaji mama aku ngeluh lagi katanya finansial keluarga kurang karena aku sama kakak tidak kerja giliran aku mau kerja dan dapet interview mama aku malah kayak sebelum nya lagi kayak di cerita awal pas aku speak up mama dan kakak aku tidak terima dan berakhir aku keluar rumah sekarang pun begitu mama ngeluh lagi tidak ada yang bantuin pekerjaan rumah dan finansial keluarga terus aku harus apa lagi gimana lagi kakak aku dirumah tidak mau ngapa ngapain tidak pernah sekalipun ditegur sedangkan aku kerja salah tidak kerja salah aku harus apa udah cape aku rasanya mau bunuh diri aku juga takut sama setan yang mati gara gara bunuh diri jelek banget anjir,2,False,
144953,2026-03-27T14:12:46+00:00,"#bot 




Gaes mau minta pendapat kalian dong, aku cewe usia 26 th, sarjana bioteknologi, belum pernah kerja tapi punya pengalaman pkl, alasan aku belum pernah kerja karna di kotaku ga ada loket buat S1 bioteknologi, aku bbrp kali dpt tawaran tp di jakarta semua, dam aku ga bisa berangkat karna ortuku ngelarang dengan alasan ga ada yg ngurus admin mamaku klu kontrol rutin ke rs, padahal saat itu ayahku masih di rumah, dan saat ini alhamdulillah ayahku udah kerja di LN, aku semakin ga bisa kerja di kantor karna aku harus stand by di rumah, akhirnya aku ada kepikiran buat kerja remote, tapi aku bingung kerja apa ya? Ada bbrp pekerjaan yg menarik si buat aku, kaya voice over, data entry, data scientist, data analyst, aku pernah ikut audisi voice over dan ternyata lolos tahap 1, pas tahap 2 ga lolos karna aku ga punya alat yg bisa menyesuaikan format yg mereka mau, kalau untuk data analis aku belum tau course mana yg worth it buat aku cobain, mungkin disini ada yg paham, minta sarannya ya, thank you 🙏",178,1007,4.522,3,panjang,178.557,gaes mau minta pendapat kalian dong aku cewe usia 26 th sarjana bioteknologi belum pernah kerja tapi punya pengalaman pkl alasan aku belum pernah kerja karna di kotaku tidak ada loket buat s1 bioteknologi aku bbrp kali dpt tawaran tapi di jakarta semua dam aku tidak bisa berangkat karna ortuku ngelarang dengan alasan tidak ada yang ngurus admin mamaku klu kontrol rutin ke rs padahal saat itu ayahku masih di rumah dan saat ini alhamdulillah ayahku udah kerja di ln aku semakin tidak bisa kerja di kantor karna aku harus stand by di rumah akhirnya aku ada kepikiran buat kerja remote tapi aku bingung kerja apa ya ada bbrp pekerjaan yang menarik si buat aku kaya voice over data entry data scientist data analyst aku pernah ikut audisi voice over dan ternyata lolos tahap 1 pas tahap 2 tidak lolos karna aku tidak punya alat yang bisa menyesuaikan format yang mereka mau kalau untuk data analis aku belum tau course mana yang worth it buat aku cobain mungkin disini ada yang paham minta sarannya ya thank you,2,False,
121854,2025-02-01T08:19:40+00:00," 
 
 
guaa jalan sama cwo ke puncak, pas sampe puncak ujannn yaa udahh gua transit ke villaaa

anj gua kira dia yg bayar malah gua yg bayar, abis ituuu istirahat langsung jalan lagii kann guaaa laper banget, gua blg dong ke diaa gua laper kataa nyaa jajan dlu ajaa buat ganjel ke perut

eh pas guaa ambil jajanan dia ngeluarin duit 10rb kataa nyaa nih gua tambahin, taiii duit guaa 100rb pas diaa liat duit gua 100rb diaa langsung masukin lagiii tuhh duit 10rb nyaaa kee kantong

total total gua ngeluarin duit 300rb buat jalan sama diaa, dan dia gaa ngeluarin duit apa apaa kataa nyaa siii buattt isi bensin diaa cuma bawa 100rb 

dannn gua gaa dikasii makan minum sama diaa, prinsip guaa kalo gua makan org yg lagi brg gua harus makan jadii guaa beliin diaa",137,748,4.423,3,panjang,178.557,gua jalan sama cwo ke puncak pas sampe puncak ujan ya udah gua transit ke villa anj gua kira dia yang bayar malah gua yang bayar abis itu istirahat langsung jalan lagi kan gua laper banget gua blg dong ke dia gua laper kata nya jajan dlu saja buat ganjel ke perut eh pas gua ambil jajanan dia ngeluarin duit 10rb kata nya nih gua tambahin tai duit gua 100rb pas dia liat duit gua 100rb dia langsung masukin lagi tuh duit 10rb nya ke kantong total total gua ngeluarin duit 300rb buat jalan sama dia dan dia tidak ngeluarin duit apa apa kata nya si buat isi bensin dia cuma bawa 100rb dan gua tidak dikasi makan minum sama dia prinsip gua kalo gua makan orang yang lagi brg gua harus makan jadi gua beliin dia,1,False,
